photo_id,touristy,hipster,romantic,divey,intimate,upscale
ZlTwL6uWx6rW_L9Df5RT8A,False,False,True,False,True,False
fHbSMxueQfXFRb9e-6bJuw,False,False,False,True,False,False
74oWvVVIjms9LjfHQOgxMQ,False,False,False,False,False,True
QY6c1OKsIpujF4MDHQdbag,False,True,False,False,False,False
0AYEzNJYFF2PeXo71cpKuw,False,True,False,False,False,False
2xYPkWiHEQSrkDi_6vXoHA,False,False,True,False,True,False
c7Uye0xPMUwV3Z5t1kFiow,False,False,True,False,False,False
w6yOJ8bUHGaUGr-Ee6Kknw,False,True,False,False,False,False
aOzHy2QvXzTjeoFhyrxysg,False,False,True,False,True,False
9LQUkuSCmpU1XGza_Qtj_A,False,False,False,False,True,False
fE6Em6Xtt9vVC4NmGLdi4A,False,True,False,False,False,False
vrolbN_wmK75cn8WzBB_eA,False,False,False,True,False,False
E-SuDX3GNLyNFKQMelT5oQ,False,False,False,False,True,False
sK-rHRJPveOSU0VW0ZG8ig,False,True,False,False,False,False
0KZ8zzWuCSmDSomk9lI35Q,False,False,False,True,False,False
VuSKGaBMxjPRgqNtrMOz_w,False,False,True,False,False,False
zdsp4VH7WH_VpF268hnOlQ,False,True,False,False,False,False
tSSIA-PhuwuP3CnWv6cYLg,False,True,False,False,False,False
NEjjmQoJakZ1C8rfecIC-g,False,True,False,False,False,False
yG9VqhQJF3-Vq0-q5Mczjw,False,False,False,False,False,True
CbdA1Xf3oilCpV9VdvDl4Q,True,False,False,False,False,False
YQg8bL7U2mPVRtVzRqNZAA,False,False,False,False,False,True
sUxPzsiIko13nD-cVlXGDw,True,False,False,False,False,False
diOJIu0yg7uUfcysETNZUw,False,False,False,True,False,False
CsSoErockufyblgXs2I3kw,False,True,False,False,False,False
AXLDUu8UxTEnHDYpL7Pv3Q,True,False,False,False,False,False
CcVeF8Rjlu_ktw8amF8Ekg,True,False,False,False,False,False
0DhLxiYqB2Q2totQFBC5oA,True,False,False,False,False,False
YA6vXGVaFmi-qqdILTpamg,True,False,False,False,False,False
k2hrH-i7Ci3RMQYf0EDa9g,False,True,False,False,False,False
lFJi82kRUQUXrQxUyFabEw,False,False,False,True,False,False
rjNtNFrld_HHi5nDhGnHKg,True,False,False,False,False,False
Z2r-CZ0RvkA6f1sSUVA8LQ,False,True,False,False,False,False
Jvwa_KxOTX0VBdtXM-Rc4Q,False,False,False,False,False,True
41pGcMHUmBz7zmWZhNKyeg,False,True,False,False,False,False
CQZPeentg2HZnCnOI60V7w,True,False,False,False,False,False
VnUcWtLmnk7KXeYebX88Rw,False,True,False,False,False,False
